rainfall_mm,temperature_c,humidity_pct,flood_pct_increase,hospital_cases_7d,case_surge_pct,citizen_reports_count,citizen_avg_risk_score,days_since_last_heavy_rain,water_stagnation_index,outbreak_risk_pct
156.85,32.12,93.77,20.81,24,-8.49,41,19.19,18,16.58,33.0
47.1,22.21,71.32,3.13,220,110.38,36,15.82,10,1.02,19.21
175.84,32.62,88.84,23.27,91,41.05,38,30.67,15,11.36,38.11
16.86,24.85,70.22,1.69,139,70.67,23,2.7,20,0.0,17.46
318.72,37.38,76.17,45.45,141,60.62,15,43.32,2,40.92,54.85
94.28,24.38,45.17,4.25,133,71.9,32,10.53,5,3.55,20.28
233.57,28.63,83.81,38.78,158,91.06,11,30.17,13,24.18,46.15
112.54,23.37,47.41,11.52,170,95.15,33,20.84,17,0.0,22.42
184.42,37.95,87.91,28.86,42,5.41,6,13.99,16,16.7,36.48
193.62,30.04,85.36,39.41,193,113.4,10,25.8,3,38.01,46.09
68.77,31.53,81.11,5.72,48,17.44,30,15.08,14,1.67,19.6
339.51,23.07,42.1,38.27,90,42.46,28,17.16,10,9.55,44.43
272.42,34.0,57.58,39.43,48,5.4,12,34.15,2,35.05,46.75
329.13,25.36,55.26,54.87,78,34.21,30,38.22,2,38.65,55.0
313.72,36.37,60.89,56.85,123,71.56,1,10.56,15,18.35,54.37
211.28,25.28,45.08,25.54,194,104.56,38,30.06,4,16.07,40.21
323.05,25.05,94.34,50.94,126,80.78,14,14.26,20,10.58,54.58
35.53,22.58,72.12,3.0,138,67.79,10,0.0,9,5.05,20.21
72.61,29.55,57.72,10.36,149,79.59,33,15.02,18,2.11,21.36
20.6,31.04,63.02,16.31,55,11.29,38,26.48,3,15.81,17.41
117.24,23.05,65.94,10.07,246,145.79,3,0.0,18,0.0,29.24
139.09,34.41,74.83,22.13,42,-5.94,10,27.37,10,20.33,29.16
98.62,29.25,69.91,17.13,156,79.63,28,22.35,1,21.31,30.67
290.91,30.39,93.32,49.07,55,7.93,1,27.35,9,34.86,48.95
128.08,29.05,68.82,19.7,14,-9.58,15,22.17,10,17.28,24.97
101.92,28.41,97.55,16.83,124,70.62,38,17.82,19,7.54,30.73
192.23,30.95,89.38,26.88,204,121.17,12,17.91,15,26.54,46.84
53.62,24.48,52.09,9.39,153,63.03,36,11.72,18,0.0,19.6
281.76,24.91,93.97,40.55,74,45.67,16,29.65,10,33.65,48.78
30.72,35.79,46.75,7.72,89,41.7,20,10.28,13,0.0,16.51
345.48,37.14,87.41,49.97,61,14.45,43,51.9,1,47.8,58.72
271.42,27.97,62.08,42.6,130,67.92,18,31.01,4,31.43,49.23
73.56,26.33,90.92,10.89,43,10.08,6,14.72,4,22.7,19.12
6.91,32.3,90.35,6.67,220,121.33,37,12.9,18,3.69,23.75
286.33,28.54,86.74,42.69,37,6.25,7,11.49,20,5.67,42.45
248.87,22.41,85.82,28.46,191,102.47,12,18.15,11,23.05,43.05
256.51,24.5,57.67,44.79,22,-8.57,36,19.36,17,10.91,36.19
271.09,33.46,44.69,36.13,188,99.84,1,16.35,3,25.92,48.74
30.55,32.54,63.37,1.31,224,117.87,40,6.08,16,0.0,19.45
128.67,22.43,50.06,16.32,61,21.83,10,10.19,9,9.52,19.7
44.97,25.55,80.31,13.62,248,150.02,23,9.07,19,1.63,26.55
302.77,25.7,60.07,34.74,100,50.79,5,28.18,5,20.89,45.65
220.04,32.75,96.59,48.69,208,125.23,25,26.11,13,26.1,52.15
119.16,22.32,77.18,23.15,52,17.26,6,19.28,10,22.16,26.18
26.93,23.67,87.7,5.16,46,6.4,38,20.44,10,19.12,18.98
112.29,34.8,47.69,16.57,31,7.38,18,8.46,17,0.0,23.72
117.19,24.86,90.0,19.01,78,21.14,5,10.92,17,9.29,25.3
256.71,32.44,93.52,41.11,114,48.79,42,40.75,10,25.88,47.81
224.96,25.81,68.25,36.97,184,94.95,28,21.92,20,9.95,45.69
311.09,23.59,75.16,49.44,174,104.64,42,37.15,11,28.49,57.37
167.91,25.89,84.36,25.64,36,11.54,38,38.91,4,37.33,31.77
46.26,33.56,50.14,5.95,238,142.57,1,2.85,8,1.91,23.27
251.07,35.69,69.15,36.9,30,8.58,18,22.44,8,21.99,41.06
267.47,35.28,63.12,39.15,29,-7.7,3,23.28,9,22.02,41.9
198.64,28.35,48.49,35.46,79,35.46,5,9.09,18,4.32,34.08
270.98,32.69,61.32,43.62,27,-3.0,36,37.3,0,34.98,45.29
175.36,25.28,43.95,11.6,230,140.11,27,5.06,6,5.34,36.15
185.34,26.69,41.5,31.08,61,19.74,29,34.49,3,23.91,35.24
152.5,36.34,47.84,23.85,184,99.59,6,26.13,0,26.78,37.19
13.77,22.21,95.86,1.97,236,141.66,8,4.71,14,4.88,19.19
42.22,23.37,71.87,4.39,130,73.68,24,24.51,7,18.24,18.66
15.84,25.33,96.02,8.0,91,35.32,32,26.12,11,20.18,17.5
224.56,22.42,65.08,38.42,225,129.51,0,14.54,17,9.93,42.82
113.45,24.9,58.09,13.15,35,-5.13,5,0.0,14,2.01,22.13
180.46,31.33,69.36,29.1,68,5.35,17,11.65,16,10.66,30.53
318.11,28.74,65.49,42.86,203,116.94,9,21.77,13,13.84,55.49
91.01,36.28,46.13,6.75,236,142.2,27,10.92,13,0.0,25.82
146.58,35.08,77.17,18.85,37,6.76,10,11.86,17,0.0,28.88
265.67,27.47,52.53,44.16,217,109.07,32,10.23,19,8.43,48.02
83.94,26.15,75.94,17.36,6,-18.81,0,5.36,17,0.0,21.38
31.56,28.08,77.71,7.3,22,-20.0,12,16.46,15,9.75,11.79
104.96,31.44,48.82,19.37,179,110.29,36,19.25,0,21.07,31.14
60.62,26.29,43.56,11.67,165,81.31,19,5.73,10,1.89,20.53
325.75,31.99,85.28,45.65,233,145.38,0,15.74,14,20.34,59.91
283.8,28.55,66.67,44.73,230,140.9,2,8.69,11,20.24,53.94
223.52,30.83,43.37,37.53,88,31.46,17,22.29,7,23.2,39.2
305.65,28.98,97.7,49.62,39,-3.06,40,24.93,19,10.71,47.08
282.27,26.71,43.35,48.28,183,104.8,13,25.89,5,29.93,48.38
69.37,37.18,80.31,13.95,118,51.91,30,32.63,2,28.02,29.44
312.93,34.22,97.05,48.7,150,80.82,26,29.66,12,25.77,62.09
191.07,24.24,53.87,34.01,114,52.14,16,10.71,12,7.47,35.82
283.57,35.9,48.25,42.4,92,27.08,28,34.19,1,36.64,46.2
314.15,29.8,47.04,42.71,76,12.82,35,30.93,4,21.42,44.75
114.71,36.31,57.59,16.39,129,67.81,36,2.86,16,0.0,29.26
42.97,34.8,45.86,2.72,34,-1.83,25,17.06,5,11.9,15.55
83.64,28.8,80.15,9.17,176,92.91,16,33.78,1,27.57,28.44
152.35,22.36,43.61,22.13,57,23.57,21,15.01,3,13.68,28.67
287.22,26.3,69.55,39.12,142,84.05,24,21.47,10,22.38,45.76
301.95,30.67,97.81,43.75,91,38.49,1,29.72,7,32.24,53.39
7.4,32.14,87.21,0.0,184,99.94,21,18.37,11,14.07,21.21
181.21,26.13,75.68,28.25,181,104.67,4,27.13,7,27.75,39.25
149.01,24.23,57.76,22.36,143,64.48,3,11.81,10,13.4,28.59
81.63,35.36,76.19,8.16,198,113.79,35,0.0,19,0.0,28.07
46.35,37.75,70.57,10.25,190,111.08,5,24.85,7,21.81,30.61
121.48,30.41,64.71,22.91,222,133.44,20,30.81,7,18.08,35.83
330.3,24.75,47.58,41.51,168,76.51,12,11.74,16,2.15,47.4
116.51,26.36,91.42,13.66,165,83.91,36,0.0,19,6.19,29.85
183.98,22.29,66.09,23.75,179,92.31,24,16.79,19,9.17,39.13
247.54,36.63,51.29,32.43,17,-7.87,25,6.61,15,1.8,37.56
130.45,23.88,61.33,23.72,44,13.18,38,11.53,13,6.94,26.62
340.26,31.22,64.02,50.07,93,53.97,19,27.03,10,25.9,57.26
337.04,26.38,88.0,49.23,72,24.04,32,38.36,6,36.88,55.01
91.86,30.87,82.55,3.76,46,6.69,13,6.44,15,0.0,18.05
176.55,32.42,84.62,29.66,151,89.86,35,29.77,12,23.74,38.05
108.8,35.28,40.64,10.12,214,125.04,16,2.81,14,4.52,28.15
103.27,25.3,64.14,15.79,233,145.47,20,6.19,15,3.84,29.33
17.73,22.18,67.92,4.05,98,47.64,15,0.81,20,0.0,15.16
215.3,24.19,41.11,39.1,23,-13.92,15,3.74,8,9.78,34.57
178.42,36.4,55.07,20.22,190,96.0,19,16.95,2,22.64,39.03
22.76,35.98,84.1,0.0,27,-14.41,28,9.46,18,2.64,10.72
101.13,31.56,47.95,16.09,58,23.96,27,15.22,19,0.0,25.57
318.35,31.61,71.05,56.76,212,130.84,7,29.83,4,38.01,61.49
87.65,32.64,52.48,19.34,69,40.79,23,9.21,9,7.62,25.67
54.99,24.81,40.7,9.3,144,82.74,2,0.0,16,0.0,19.73
173.86,36.63,53.99,23.62,28,7.97,24,13.74,14,7.98,31.36
345.05,28.7,96.6,55.79,38,0.69,18,46.86,7,44.45,57.44
88.51,28.13,86.49,8.41,57,8.75,32,21.32,14,2.13,19.03
236.89,30.3,95.66,37.91,140,80.13,1,17.9,20,20.22,49.26
267.76,22.75,68.3,42.69,22,-1.99,14,21.19,13,20.36,38.64
86.98,24.66,46.36,18.35,61,21.53,21,3.58,19,0.0,18.2
256.23,33.81,71.78,52.23,116,60.43,9,23.26,6,28.06,52.82
131.89,23.32,66.35,21.74,9,-11.41,17,8.25,20,0.0,23.96
223.15,31.65,88.97,30.93,158,95.6,21,22.3,11,21.97,50.06
223.57,25.93,45.69,33.41,162,98.36,26,11.05,16,5.08,40.79
189.84,28.23,68.32,19.63,186,108.35,12,12.7,16,11.53,41.22
36.15,26.62,48.7,1.95,17,-1.9,32,10.42,9,4.71,8.46
293.18,27.69,58.83,41.93,87,42.11,4,5.99,18,6.45,42.77
115.67,33.5,82.77,14.73,33,-1.69,25,3.1,13,7.12,26.17
69.35,26.75,67.61,11.16,7,-9.28,12,18.08,10,14.67,15.1
19.07,31.06,61.8,0.0,94,31.51,26,30.1,1,13.18,14.69
208.86,29.62,62.88,36.93,108,60.43,13,12.86,17,14.65,42.49
238.76,32.62,66.65,35.81,127,55.11,23,28.12,6,24.18,45.01
10.72,36.99,85.53,1.56,190,108.95,2,17.77,11,16.15,23.19
181.67,33.72,91.74,25.61,80,26.57,29,46.29,1,38.98,37.83
83.14,25.44,95.41,13.25,134,73.76,34,12.78,19,4.87,26.26
227.58,22.5,85.64,38.26,207,117.73,13,5.62,17,13.42,47.05
65.16,26.2,58.29,5.44,112,41.91,11,13.28,5,10.8,18.04
243.37,31.52,79.91,33.22,160,90.03,27,29.12,9,25.47,47.76
138.42,22.82,65.38,19.24,86,32.71,43,11.17,19,0.0,27.83
328.17,29.94,54.77,42.5,81,41.05,28,15.78,14,10.05,48.42
52.44,31.55,88.77,3.77,233,135.34,42,30.5,4,21.48,28.75
122.67,27.35,42.23,16.02,218,128.5,16,6.61,19,0.0,31.29
44.15,34.33,92.3,10.99,208,111.01,39,29.76,2,20.57,29.44
324.02,23.71,66.77,49.92,6,-20.0,20,33.57,4,35.83,49.82
307.68,23.2,76.96,47.12,131,63.66,22,30.53,7,27.52,49.99
93.99,33.65,78.24,18.35,233,142.19,19,16.84,7,15.7,33.84
232.69,29.93,91.92,34.22,139,86.09,10,25.42,7,24.01,45.47
286.94,33.01,76.93,44.99,30,-6.44,33,20.68,11,17.4,43.76
196.54,28.96,75.61,28.97,222,136.61,9,17.74,7,18.35,40.92
187.73,25.94,43.87,29.49,92,23.98,9,0.28,10,7.12,25.87
88.44,35.11,70.07,10.35,208,109.11,42,21.53,13,13.47,31.92
37.12,34.79,48.71,0.0,20,-14.34,5,5.94,7,2.01,9.07
314.54,33.12,82.77,46.51,155,72.51,35,29.85,9,30.65,58.37
315.64,26.35,69.71,54.46,172,82.0,23,33.54,6,35.3,57.88
223.42,31.44,79.45,38.14,192,111.3,11,3.77,16,15.62,46.16
121.97,27.78,42.42,23.12,77,29.62,42,19.49,3,17.16,28.08
125.48,23.47,44.92,25.0,36,7.04,22,1.62,12,0.7,24.1
255.45,36.68,81.55,38.76,19,-1.81,26,41.33,3,41.27,43.71
314.5,24.19,44.18,48.16,233,137.46,44,41.87,4,33.75,56.99
311.04,37.2,44.13,43.57,145,81.93,36,26.07,3,19.44,50.85
274.06,29.14,40.7,39.53,9,-14.56,5,0.0,17,0.0,38.86
226.5,24.96,95.48,37.05,207,108.5,0,25.98,5,34.85,47.32
34.03,30.67,82.78,11.12,78,40.46,5,24.22,1,23.92,21.55
60.76,35.97,60.49,8.42,56,12.62,21,14.19,10,8.54,18.97
315.0,33.72,57.2,45.0,81,26.52,40,20.53,13,12.75,48.7
214.22,34.9,60.28,32.14,173,93.91,23,40.25,4,33.6,48.35
8.17,32.54,84.93,4.23,185,96.03,24,36.5,5,24.43,22.26
40.01,33.08,78.36,0.0,114,52.66,14,6.66,9,10.86,21.49
233.91,35.59,50.74,23.61,182,104.09,25,24.73,7,18.27,44.42
6.75,25.99,50.1,0.0,147,80.79,7,17.55,13,0.0,16.91
60.48,29.83,45.71,2.97,110,46.15,23,16.02,2,9.64,17.89
194.31,25.54,78.3,26.61,131,63.43,37,23.17,11,14.37,38.44
243.7,37.8,84.33,35.82,11,-4.07,5,15.17,15,17.44,41.35
229.93,37.1,55.37,32.22,44,13.3,34,19.81,16,8.95,32.66
82.37,22.63,41.21,19.62,160,103.27,41,32.69,0,20.77,25.71
250.7,33.29,44.77,39.24,164,98.77,0,1.23,9,9.32,47.13
86.85,36.8,96.14,14.53,103,57.82,35,24.72,9,17.94,30.13
117.26,24.89,57.14,20.7,147,66.9,11,0.0,20,0.0,24.6
262.54,31.09,84.61,33.69,244,148.78,37,39.7,1,37.06,54.93
229.12,36.65,76.23,39.56,232,134.24,10,26.15,8,34.58,53.35
297.98,22.54,62.15,44.32,89,34.93,11,15.26,12,12.83,45.57
231.88,33.16,51.93,38.13,202,116.01,41,12.3,15,10.35,47.39
201.07,26.76,47.04,24.8,69,33.56,38,12.43,17,4.49,33.55
37.32,36.79,75.67,0.0,136,74.67,6,10.46,18,4.79,20.47
131.86,37.54,84.93,23.87,15,-17.03,10,13.15,11,16.91,27.95
96.49,37.11,77.35,16.36,112,60.61,35,17.95,7,21.21,31.86
89.18,29.59,70.76,8.87,30,-5.1,30,12.73,16,3.05,19.8
340.69,35.79,42.43,46.75,193,110.4,32,15.64,14,11.21,53.88
140.62,35.51,96.17,26.72,169,90.24,12,23.19,9,25.64,39.59
312.76,27.11,86.33,40.97,155,81.58,17,19.87,14,23.03,50.85
222.74,35.26,56.98,41.62,225,136.13,40,23.96,14,2.62,45.6
279.21,22.59,96.84,37.38,89,31.01,23,29.29,6,37.73,46.09
178.41,31.54,74.91,29.95,244,158.23,8,30.13,12,16.96,44.87
204.03,25.68,73.78,28.96,241,126.1,30,14.11,16,8.83,42.77
174.92,23.93,83.39,29.25,241,135.89,40,39.24,8,32.91,42.88
72.36,23.23,87.08,8.13,245,146.3,9,12.77,7,16.18,28.92
254.25,33.14,78.08,37.32,223,133.34,1,3.81,19,8.24,49.23
101.87,27.44,47.43,15.48,235,135.86,37,7.18,20,0.0,31.37
13.39,33.6,59.62,0.0,172,94.21,14,7.21,17,0.0,12.78
227.69,23.05,93.83,37.86,209,122.62,2,12.02,12,23.09,47.45
66.1,27.04,53.03,7.35,155,81.48,42,14.42,15,0.0,23.93
329.46,30.63,61.59,48.28,127,75.81,30,21.4,8,29.15,56.44
334.11,34.65,65.06,45.14,148,85.38,5,20.39,11,21.91,58.29
320.63,27.1,65.49,35.28,226,137.65,2,14.52,11,12.09,50.2
132.7,32.01,75.55,18.95,193,100.94,10,13.12,5,20.62,32.92
10.33,36.18,94.7,13.61,72,27.36,14,11.13,18,4.43,19.79
325.27,31.85,53.96,52.71,108,49.6,44,35.83,6,27.96,56.73
152.72,25.73,47.05,22.81,84,27.96,27,33.65,2,21.94,27.61
338.5,22.39,51.45,49.46,163,91.55,9,9.94,15,14.39,52.94
337.45,35.92,91.44,50.73,57,13.7,37,37.28,17,15.12,53.98
299.29,22.34,77.46,47.63,110,58.58,6,9.08,15,24.04,47.72
106.58,36.0,56.58,10.08,157,76.11,14,12.97,6,13.02,29.09
137.86,30.46,87.32,26.25,48,25.75,17,26.8,3,37.74,29.35
298.64,37.03,89.96,48.37,144,68.83,17,44.45,7,37.61,57.33
114.34,34.78,89.1,20.74,94,44.42,40,27.84,12,21.43,29.63
63.47,37.97,93.3,11.71,105,56.33,23,19.27,12,16.54,25.71
197.1,27.61,54.63,29.66,244,138.1,1,10.23,16,9.64,43.15
327.97,34.28,83.79,52.56,101,54.15,39,31.08,16,24.25,56.96
245.13,28.43,66.71,39.73,224,119.5,19,26.34,4,29.51,49.9
201.67,29.68,88.84,28.48,13,0.28,33,35.32,5,39.63,39.83
38.53,32.04,82.25,2.91,16,-9.22,42,15.36,18,2.4,11.3
217.18,35.98,85.03,33.09,73,23.9,25,27.83,12,23.04,41.46
346.57,37.75,78.06,59.73,186,101.61,6,23.44,13,22.7,61.4
53.33,34.29,50.29,1.8,248,151.8,37,25.59,3,6.16,27.66
183.82,28.68,71.61,20.24,186,99.32,29,15.23,6,21.75,39.9
307.69,28.74,97.11,46.98,32,-4.66,41,42.37,7,38.01,51.66
260.57,33.8,94.37,39.34,60,18.23,4,26.03,12,23.59,48.65
245.47,25.82,42.5,37.69,103,39.25,10,19.09,5,20.89,42.83
247.36,23.77,49.56,38.32,201,128.56,0,11.55,5,29.05,48.21
129.02,27.67,47.64,18.24,230,128.8,33,3.44,20,0.0,31.81
106.29,26.6,82.11,23.39,114,62.65,0,22.78,2,26.43,32.33
284.23,26.74,87.43,34.63,230,135.01,18,36.17,2,36.64,54.96
284.49,25.74,52.38,38.53,81,26.12,1,11.59,12,9.91,43.66
304.14,22.67,69.34,45.1,107,51.29,20,30.73,1,35.79,46.65
320.07,22.29,88.76,39.79,110,59.61,19,21.71,15,18.39,53.67
181.41,37.8,82.5,26.33,113,53.83,22,22.57,5,25.87,39.58
178.02,28.84,71.45,35.01,116,66.88,20,23.23,7,19.92,36.0
280.41,28.15,74.24,42.17,62,29.51,23,29.67,7,28.13,45.35
229.24,32.87,69.48,35.54,82,42.02,3,17.05,5,25.32,38.85
247.18,25.49,57.26,30.78,79,28.99,11,11.09,13,0.0,34.97
279.55,37.2,72.77,38.85,46,2.03,21,31.84,2,42.58,47.43
312.05,34.58,79.96,44.93,170,88.42,19,31.24,9,32.81,59.27
121.61,23.43,90.65,16.65,72,29.57,17,24.37,2,29.35,29.55
134.58,28.68,76.9,26.59,185,107.7,0,23.0,11,17.28,36.91
37.42,36.07,84.15,8.4,37,-12.71,29,11.69,16,0.0,13.81
204.51,37.12,49.28,25.12,75,29.94,32,26.85,4,25.62,35.81
17.4,29.48,66.77,3.84,60,21.26,23,6.03,19,0.66,12.14
165.63,31.81,40.54,27.34,109,50.45,13,22.59,8,11.72,31.67
192.21,24.67,54.31,34.53,204,126.33,35,9.13,20,4.2,39.92
103.86,37.86,82.13,23.48,105,53.37,4,0.0,19,6.23,29.74
208.84,25.71,97.52,26.25,55,27.15,10,24.78,6,25.41,37.48
15.52,37.08,45.75,0.0,78,30.27,23,14.53,3,7.58,13.1
17.89,32.39,63.29,0.0,175,104.17,30,13.54,12,1.51,19.38
288.8,31.72,86.4,42.15,125,76.41,12,25.33,12,22.96,51.25
129.27,30.2,51.83,21.72,147,88.49,15,21.24,9,9.86,28.75
48.84,25.69,72.19,12.26,170,84.6,23,0.0,17,0.7,22.02
185.17,24.82,82.52,27.4,147,75.97,12,6.7,16,11.39,37.05
270.65,25.53,75.73,39.0,9,-16.76,23,18.23,19,10.03,36.73
79.46,24.98,50.91,12.68,225,133.91,25,1.97,19,0.0,25.57
219.9,34.47,60.61,28.81,87,43.49,1,0.09,12,8.84,39.49
34.44,27.6,85.46,15.61,186,97.29,15,16.03,16,2.75,21.79
22.83,22.93,72.15,0.0,55,17.21,37,19.84,3,21.05,11.98
188.32,37.51,40.3,29.17,14,-20.0,0,10.51,0,15.34,31.06
191.52,36.14,84.14,38.85,144,87.54,10,39.02,0,45.39,48.68
224.91,36.84,42.05,33.77,8,-18.77,34,25.28,14,10.67,38.33
255.5,37.92,83.25,37.38,99,46.45,42,19.83,12,20.72,47.92
341.67,24.78,51.74,49.46,150,77.52,28,11.19,16,0.9,53.71
183.12,28.34,95.57,26.57,84,45.17,36,28.23,7,27.35,38.67
116.42,34.13,61.34,24.33,236,114.63,16,9.84,17,2.38,32.23
279.34,33.14,58.96,30.84,40,6.53,38,13.25,12,7.98,41.66
98.44,24.46,48.64,22.43,29,-1.51,41,21.76,13,2.0,20.4
156.45,35.05,57.73,16.35,219,122.37,27,19.18,7,19.48,38.18
32.07,25.59,90.85,3.48,208,132.48,28,12.73,7,20.8,23.87
13.75,25.58,97.79,0.0,102,40.9,42,12.37,14,4.64,16.03
337.11,30.59,61.36,53.51,168,98.17,2,11.63,12,15.42,57.0
293.41,31.49,66.02,36.02,105,52.85,9,27.24,6,23.91,48.48
245.11,31.28,81.88,39.08,199,122.76,41,32.68,4,33.34,51.73
146.09,23.46,91.4,32.03,13,-16.67,13,12.28,16,18.22,29.03
64.79,36.04,74.4,2.9,65,17.47,11,8.1,15,0.0,19.33
58.97,26.25,62.71,9.79,57,26.77,41,24.04,1,23.28,19.62
91.33,24.07,63.93,10.39,150,83.4,29,12.27,17,5.58,21.8
194.48,36.22,80.35,31.3,175,84.31,31,21.22,16,15.89,38.79
251.54,37.29,40.19,37.83,167,87.02,31,24.78,6,17.99,46.91
232.77,35.79,75.94,31.71,67,27.76,41,21.94,12,16.73,40.21
101.58,34.95,60.62,17.68,125,70.04,31,4.67,17,0.0,24.33
334.43,32.48,86.06,59.19,230,127.9,25,36.95,13,34.72,64.66
259.57,30.81,45.39,37.98,109,29.35,0,0.0,17,0.8,39.87
196.25,23.39,74.12,33.04,210,124.19,41,19.6,12,17.63,41.95
216.04,28.54,67.9,25.94,8,-20.0,1,19.2,10,15.95,33.42
149.76,27.96,77.25,17.68,97,28.53,16,7.24,20,0.0,30.21
90.47,26.16,43.76,15.93,173,72.67,29,17.54,20,0.0,25.97
127.81,33.57,73.64,26.59,177,104.51,38,24.54,15,11.52,36.08
266.46,29.93,72.57,41.75,182,102.36,6,6.84,16,14.22,49.48
9.97,23.3,72.52,0.0,211,118.86,26,18.89,7,13.26,19.95
45.05,25.52,75.0,6.75,32,12.45,8,0.0,18,0.0,15.85
20.87,32.93,79.24,0.0,174,101.1,21,0.0,19,0.15,19.51
19.05,23.22,86.69,5.88,84,48.93,33,10.75,14,3.85,16.62
300.13,35.62,55.65,49.43,80,22.19,0,29.96,8,31.32,47.65
247.76,29.92,87.85,34.9,120,59.72,8,7.64,19,4.83,43.43
168.59,29.69,68.9,22.94,73,15.73,19,13.21,9,18.08,32.49
38.75,31.48,44.47,7.14,102,46.16,18,4.27,11,1.6,16.09
174.61,35.19,43.4,24.01,238,136.68,35,9.79,20,0.0,38.39
168.35,27.56,59.39,24.92,5,-11.65,39,4.04,19,0.98,25.07
64.75,32.85,85.52,20.21,171,94.36,44,47.85,0,38.86,30.19
154.68,31.05,81.05,21.97,100,51.65,3,0.0,19,0.0,32.05
142.48,26.27,85.74,19.58,222,133.63,8,14.3,8,23.57,36.9
217.47,36.06,70.0,29.38,21,11.24,40,6.19,14,1.78,32.82
224.11,34.76,65.53,37.34,116,54.81,21,36.39,0,30.73,42.4
20.63,32.54,48.55,2.19,95,35.81,17,7.56,11,5.46,12.85
134.24,35.61,59.04,16.89,92,43.3,11,24.56,2,19.14,31.69
220.92,35.88,65.17,39.74,167,84.92,41,32.76,10,15.75,45.57
178.58,33.33,45.14,33.89,178,110.52,42,37.56,1,24.8,40.3
300.49,35.39,52.8,42.07,174,93.73,38,23.48,15,18.44,51.23
232.25,33.16,74.7,25.5,171,89.48,8,0.54,8,13.28,45.4
61.21,32.88,82.67,14.22,94,38.9,5,7.29,14,5.28,24.35
29.35,31.9,97.9,0.98,53,21.08,18,31.26,11,19.25,16.24
226.63,34.04,94.12,37.95,194,108.07,6,42.3,0,50.85,54.54
14.15,24.54,77.27,0.0,42,2.87,15,0.0,12,4.77,11.0
207.09,36.09,64.43,35.53,155,96.66,4,5.09,13,9.08,44.7
329.38,35.95,76.9,43.35,154,75.82,15,34.22,7,38.29,57.14
203.54,22.47,85.57,34.18,136,70.95,0,22.69,7,35.22,44.56
138.92,35.21,46.86,20.91,181,105.89,36,4.89,11,8.64,31.95
